Dataset,Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
CIFAR-10,softmax,static,iid,TriMean,1,per_class_accs_class_1,0.0105,0.02058
CIFAR-10,softmax,static,iid,TriMean,2,per_class_accs_class_1,0.0105,0.02058
CIFAR-10,softmax,static,iid,TriMean,3,per_class_accs_class_1,0.0105,0.02058
CIFAR-10,softmax,static,iid,TriMean,4,per_class_accs_class_1,0.0105,0.02058
CIFAR-10,softmax,static,iid,TriMean,5,per_class_accs_class_1,0.0105,0.02058
CIFAR-10,softmax,static,iid,TriMean,6,per_class_accs_class_1,0.0105,0.02058
CIFAR-10,softmax,static,iid,TriMean,7,per_class_accs_class_1,0.0105,0.02058
CIFAR-10,softmax,static,iid,TriMean,8,per_class_accs_class_1,0.0105,0.02058
CIFAR-10,softmax,static,iid,TriMean,9,per_class_accs_class_1,0.0025,0.0049
CIFAR-10,softmax,static,iid,TriMean,0,per_class_accs_class_2,0.0085,0.004899999999999998
CIFAR-10,softmax,static,iid,TriMean,1,per_class_accs_class_2,0.0085,0.004899999999999998
CIFAR-10,softmax,static,iid,TriMean,2,per_class_accs_class_2,0.0085,0.004899999999999998
CIFAR-10,softmax,static,iid,TriMean,3,per_class_accs_class_2,0.0085,0.004899999999999998
CIFAR-10,softmax,static,iid,TriMean,4,per_class_accs_class_2,0.0085,0.004899999999999998
CIFAR-10,softmax,static,iid,TriMean,5,per_class_accs_class_2,0.0085,0.004899999999999998
CIFAR-10,softmax,static,iid,TriMean,6,per_class_accs_class_2,0.0085,0.004899999999999998
CIFAR-10,softmax,static,iid,TriMean,7,per_class_accs_class_2,0.0085,0.004899999999999998
CIFAR-10,softmax,static,iid,TriMean,8,per_class_accs_class_2,0.0085,0.004899999999999998
CIFAR-10,softmax,static,iid,TriMean,9,per_class_accs_class_2,0.0025,0.0049
CIFAR-10,softmax,static,iid,TriMean,0,per_class_accs_class_3,0.022500000000000003,0.03822
CIFAR-10,softmax,static,iid,TriMean,1,per_class_accs_class_3,0.022500000000000003,0.03822
CIFAR-10,softmax,static,iid,TriMean,2,per_class_accs_class_3,0.022500000000000003,0.03822
CIFAR-10,softmax,static,iid,TriMean,3,per_class_accs_class_3,0.022500000000000003,0.03822
CIFAR-10,softmax,static,iid,TriMean,4,per_class_accs_class_3,0.022500000000000003,0.03822
CIFAR-10,softmax,static,iid,TriMean,5,per_class_accs_class_3,0.022500000000000003,0.03822
CIFAR-10,softmax,static,iid,TriMean,6,per_class_accs_class_3,0.022500000000000003,0.03822
CIFAR-10,softmax,static,iid,TriMean,7,per_class_accs_class_3,0.022500000000000003,0.03822
CIFAR-10,softmax,static,iid,TriMean,8,per_class_accs_class_3,0.022500000000000003,0.03822
CIFAR-10,softmax,static,iid,TriMean,9,per_class_accs_class_3,0.088,0.17247999999999997
CIFAR-10,softmax,static,iid,TriMean,0,per_class_accs_class_4,0.0035,0.00686
CIFAR-10,softmax,static,iid,TriMean,1,per_class_accs_class_4,0.0035,0.00686
CIFAR-10,softmax,static,iid,TriMean,2,per_class_accs_class_4,0.0035,0.00686
CIFAR-10,softmax,static,iid,TriMean,3,per_class_accs_class_4,0.0035,0.00686
CIFAR-10,softmax,static,iid,TriMean,4,per_class_accs_class_4,0.0035,0.00686
CIFAR-10,softmax,static,iid,TriMean,5,per_class_accs_class_4,0.0035,0.00686
CIFAR-10,softmax,static,iid,TriMean,6,per_class_accs_class_4,0.0035,0.00686
CIFAR-10,softmax,static,iid,TriMean,7,per_class_accs_class_4,0.0035,0.00686
CIFAR-10,softmax,static,iid,TriMean,8,per_class_accs_class_4,0.0035,0.00686
CIFAR-10,softmax,static,iid,TriMean,9,per_class_accs_class_4,0.0,0.0
CIFAR-10,softmax,static,iid,TriMean,0,per_class_accs_class_5,0.0405,0.0009800000000000008
CIFAR-10,softmax,static,iid,TriMean,1,per_class_accs_class_5,0.0405,0.0009800000000000008
CIFAR-10,softmax,static,iid,TriMean,2,per_class_accs_class_5,0.0405,0.0009800000000000008
CIFAR-10,softmax,static,iid,TriMean,3,per_class_accs_class_5,0.0405,0.0009800000000000008
CIFAR-10,softmax,static,iid,TriMean,4,per_class_accs_class_5,0.0405,0.0009800000000000008
CIFAR-10,softmax,static,iid,TriMean,5,per_class_accs_class_5,0.0405,0.0009800000000000008
